 1	 Kumar	 41,490,000
 2	 Lal	 28,670,000
 3	 Sharma	 28,540,000
 4	 Shan	 26,920,000
 5	 Jai	 26,360,000
 6	 Pal	 22,420,000
 7	 Aggarwal	 11,950,000
 8	 Raje	 11,270,000
 9	 Chande	 10,230,000
 10	 Chander	 10,180,000
 11	 Nara	 9,090,000
 12	 Rai	 8,570,000
 13	 Nath	 7,700,000
 14	 Goel	 7,230,000
 15	 Bhat	 7,070,000
 16	 Raji	 6,750,000
 17	 Anand	 6,750,000
 18	 Suri	 6,680,000
 19	 Kapoor	 6,530,000
 20	 Chandra	 6,450,000
 21	 Patel	 6,430,000
 22	 Verma	 5,780,000
 23	 Malhotra	 4,840,000
 24	 Sai	 4,750,000
 25	 Engineer	 4,690,000
 26	 Arun	 4,520,000
 27	 Madan	 4,510,000
 28	 Srini	 4,340,000
 29	 Prasad	 4,330,000
 30	 Sara	 4,170,000
 31	 Rana	 4,050,000
 32	 Raman	 4,030,000
 33	 Subram	 4,020,000
 34	 Mehta	 3,980,000
 35	 Subramani	 3,880,000
 36	 Sethi	 3,640,000
 37	 Vijaya	 3,610,000
 38	 Malik	 3,430,000
 39	 Narayan	 3,330,000
 40	 Mittal	 3,110,000
 41	 Nita	 3,100,000
 42	 Kishore	 3,010,000
 43	 Roy	 2,910,000
 44	 Chaudhary	 2,890,000
 45	 Charan	 2,730,000
 46	 Nigam	 2,730,000
 47	 Sen	 2,470,000
 48	 Subramanian	 2,330,000
 49	 Nirmal	 2,310,000
 50	 Pawan	 2,300,000
 51	 Manohar	 2,270,000
 52	 Sahni	 2,250,000
 53	 Lalit	 2,190,000
 54	 Rajan	 2,180,000
 55	 Sehgal	 2,180,000
 56	 Uddin	 2,170,000
 57	 Saini	 2,140,000
 58	 Neel	 2,070,000
 59	 Jana	 2,040,000
 60	 Darsha	 1,950,000
 61	 Ranga	 1,930,000
 62	 Vish	 1,920,000
 63	 Mehra	 1,890,000
 64	 Puri	 1,820,000
 65	 Muthu	 1,790,000
 66	 Gandhi	 1,780,000
 67	 Lata	 1,770,000
 68	 Chauhan	 1,740,000
 69	 Saxena	 1,700,000
 70	 Swami	 1,660,000
 71	 Neela	 1,600,000
 72	 Chandrasekar	 1,590,000
 73	 Soni	 1,580,000
 74	 Dhawan	 1,550,000
 75	 Nagpal	 1,540,000
 76	 Joshi	 1,540,000
 77	 Krishnamurthy	 1,540,000
 78	 Persaud	 1,480,000
 79	 Punj	 1,470,000
 80	 Veena	 1,470,000
 81	 Mahajan	 1,470,000
 82	 Manju	 1,460,000
 83	 Dutta	 1,460,000
 84	 Sandeep	 1,450,000
 85	 Narang	 1,440,000
 86	 Naran	 1,430,000
 87	 Veer	 1,380,000
 88	 Tyagi	 1,370,000
 89	 Samuel	 1,370,000
 90	 Srivastava	 1,360,000
 91	 Sudha	 1,340,000
 92	 Srivas	 1,260,000
 93	 Mati	 1,260,000
 94	 Neelam	 1,250,000
 95	 Rastogi	 1,250,000
 96	 Bhatt	 1,250,000
 97	 Rajagopal	 1,250,000
 98	 Srivastav	 1,240,000
 99	 Ganesh	 1,200,000
 100	 Jindal	 1,200,000
